Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 6.592290304891666e-66], [0.9999999999999998, 3.7366689617180376e-33]]",-150.37321926770187,1.0,-150.37321926770187,False,False
"[[6.407052605733216e-32, 0.9999999999999998], [6.460444498793825e-64, 0.0]]",-72.83543402147473,0,-72.83543402147473,False,False
"[[0.3634432232586852, 0.2519974564323335], [0.17472527752553055, 0.2098340427834507]]",-0.32694308433724206,0.33333333333214454,-0.32694308433724206,True,True
