Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.09787817411983381], [0.3555534185275302, 0.546568407352636]]",0.22054430290562244,0.9055192842006794,0.22054430290562244,False,True
"[[0.0, 0.9999999999999998], [6.463401214262448e-67, 0.0]]",-306.20038545633037,0,-306.20038545633037,False,False
"[[0.9999999999999998, 3.517910923244237e-64], [6.87355815269514e-67, 1.9206896057454303e-66]]",-1.9721522630525295e-31,9.98409645971939e-261,-1.9721522630525295e-31,False,True
