Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.0], [0.0, 1.0]]",0.0,1.0,0.0,False,True
"[[0.35537422196108576, 0.35537422196108576], [0.18674027665280532, 0.10251127942502324]]",0.5088447699256489,0.28521031842152816,0.5088447699256489,False,True
