Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.0], [0.0, 1.0]]",0.0,1.0,0.0,False,True
"[[0.24718044452736337, 0.3476359996155902], [0.2314871459513027, 0.17369640990574375]]",0.07567109972581765,0.43868780311994127,0.07567109972581765,False,True
"[[0.9999999999999998, 5.53377646800132e-19], [3.631727914771312e-21, 5.2400137937571116e-21]]",-1.9721522630525295e-31,3.551872358313453e-75,-1.9721522630525295e-31,False,True
