Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.24414024395522194], [0.34526644412255103, 0.4105933119222271]]",-0.17328679513998613,0.7499999999999999,-0.17328679513998613,False,True
"[[0.0, 0.9999999999999998], [1.4790561230405265e-40, 0.0]]",-138.6077201560502,0,-138.6077201560502,False,False
"[[0.3967862931667169, 0.28756883101107394], [0.08917568442762444, 0.22646919139458468]]",0.12036029386098002,0.29587585476794326,0.12036029386098002,True,True
"[[0.5000000000000002, 0.4999999999999999], [1.4641161622017316e-40, 0.0]]",0.0,0,0.0,False,True
