Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.0], [0.0, 1.0]]",0.0,1.0,0.0,False,True
"[[0.3650944195076549, 0.2862915267670256], [0.17171554517115223, 0.17689850855416725]]",0.44393611692605184,0.3060144869832386,0.44393611692605184,False,True
