Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.15673865624693628], [0.41748345571874024, 0.4257778880343235]]",0.3968889054529452,0.7903763105232704,0.3968889054529452,False,True
"[[0.12946471417624394, 0.1576871890287403], [0.35135984655316854, 0.36148825024184716]]",0.40483294192959907,0.7205517019715695,0.40483294192959907,False,True
"[[0.9999999999999998, 3.869526675481944e-56], [8.74580419952814e-59, 1.5164208932664808e-58]]",-1.9721522630525295e-31,3.535129846898459e-224,-1.9721522630525295e-31,False,True
