Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.21765387861625587], [0.4413585026091953, 0.34098761877454886]]",0.24751557275582803,0.688509738123214,0.24751557275582803,False,True
"[[0.20994525143918502, 0.21331646973463403], [0.31472551727310516, 0.2620127615530759]]",0.32317867450667803,0.5497442950622686,0.32317867450667803,False,True
"[[0.9999999999999998, 3.2476384199314e-21], [1.933472092350083e-23, 2.0002229077932542e-23]]",-1.9721522630525295e-31,1.1400848099367974e-82,-1.9721522630525295e-31,False,True
