Messages,Free entropy density,density,entropy density,stability,physical
"[[0.20902895468745072, 0.22757123813279279], [0.2697361904610578, 0.2936636167186986]]",0.3423187435433479,0.5841813335280698,0.3423187435433479,False,True
"[[0.335594568032747, 0.42586339656937733], [0.23854203539787566, 0.0]]",0.024957499961908436,0.3216830061190616,0.024957499961908436,False,True
"[[0.9999999999999998, 1.615664498440476e-19], [1.0397929671793534e-21, 3.8340140437638585e-22]]",-1.9721522630525295e-31,6.814271379303203e-76,-1.9721522630525295e-31,False,True
