Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 1.8080116110148595e-29], [0.9999999999999938, 6.188238880476336e-15]]",-66.47124397355907,1.0,-66.47124397355907,False,False
"[[1.0610619364532337e-13, 0.9999999999998939], [1.771851378794563e-27, 0.0]]",-30.884446374403268,0,-30.884446374403268,False,False
"[[0.29975536413714426, 0.2925977013409763], [0.1788725793949087, 0.22877435512697078]]",0.03960699540655632,0.42401644467976657,0.03960699540655632,True,True
