Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.0], [0.9999999999999998, 6.359114106063799e-26]]",-inf,0,-inf,False,False
"[[0.3293817701219941, 0.27956543000442213], [0.23259176627794553, 0.15846103359563835]]",0.026712341254806038,0.3418699374152186,0.026712341254806038,False,True
"[[0.9999999999999998, 6.777205590908557e-22], [3.90388801954429e-24, 2.8948173171289102e-24]]",-1.9721522630525295e-31,2.1456569356183092e-85,-1.9721522630525295e-31,False,True
