Messages,Free entropy density,density,entropy density,stability,physical
"[[1.1122795563043874e-23, 9.046256971665371e-09], [0.9997602664725402, 0.00023972448120277587]]",-9.345897888889667,1.0,-9.345897888889667,False,True
"[[8.898236450440487e-24, 7.237005577332297e-09], [0.9997855741060475, 0.00021441865694678052]]",-9.457482291340746,1.0,-9.457482291340746,False,True
"[[1.0258968159664877e-25, 5.789604465048408e-09], [0.9998082102832208, 0.00019178392717469838]]",-9.569065360370594,1.0,-9.569065360370594,False,True
"[[5.6948713282900765e-24, 4.6316835694926705e-09], [0.9998284569690269, 0.00017153839928935537]]",-9.680647237567896,1.0,-9.680647237567896,False,True
"[[6.565739622185674e-26, 3.7053468576309815e-09], [0.9998465663739249, 0.00015342992072820826]]",-9.79222804773233,1.0,-9.79222804773233,False,True
"[[3.64471765011218e-24, 2.9642774844753093e-09], [0.999862764093098, 0.00013723294262429122]]",-9.903807904567842,1.0,-9.903807904567842,False,True
"[[4.2020733581989526e-26, 2.371421988883828e-09], [0.9998772519134397, 0.00012274571513825846]]",-10.01538690768885,1.0,-10.01538690768885,False,True
"[[2.4054071500851647e-26, 1.8971375929107768e-09], [0.999890210325835, 0.00010978777702736728]]",-10.12696514752379,1.0,-10.12696514752379,False,True
"[[1.8660954368640827e-24, 1.517710072051359e-09], [0.999901800771929, 9.819771036079633e-05]]",-10.23854270606651,1.0,-10.23854270606651,False,True
"[[1.9243257193353394e-26, 1.2141680585738538e-09], [0.9999121676536198, 8.783113221199018e-05]]",-10.350119653017522,1.0,-10.350119653017522,False,True
"[[1.3769353983899376e-26, 9.713344471557349e-10], [0.9999214401318366, 7.855889682896554e-05]]",-10.461696054194562,1.0,-10.461696054194562,False,True
"[[1.1015483187119735e-26, 7.770675577245879e-10], [0.9999297337343533, 7.026548857910113e-05]]",-10.573271967165596,1.0,-10.573271967165596,False,True
"[[7.049909243509025e-27, 6.216540468158181e-10], [0.9999371517946114, 6.284758373453004e-05]]",-10.684847442826324,1.0,-10.684847442826324,False,True
"[[6.30563051951995e-27, 4.973232371560029e-10], [0.99994378673881, 5.621276386676443e-05]]",-10.796422528614578,1.0,-10.796422528614578,False,True
"[[4.51194191584598e-27, 3.9785858996212364e-10], [0.9999497212367605, 5.027836538090314e-05]]",-10.907997264371069,1.0,-10.907997264371069,False,True
"[[3.2284828283958454e-27, 3.182868722350322e-10], [0.9999550292318731, 4.497044984025336e-05]]",-11.019571687465977,1.0,-11.019571687465977,False,True
"[[2.8876428261415904e-27, 2.5462949757575916e-10], [0.999959776862094, 4.0222883276515455e-05]]",-11.131145831848677,1.0,-11.131145831848677,False,True
"[[2.3101142609133494e-27, 2.0370359806060734e-10], [0.9999640232836617, 3.597651263467306e-05]]",-11.24271972578201,1.0,-11.24271972578201,False,True
"[[2.582786259812356e-27, 1.629628782319537e-10], [0.9999678214082153, 3.217842882182905e-05]]",-11.354293396744517,1.0,-11.354293396744517,False,True
"[[2.066229007850005e-27, 1.3037030258556296e-10], [0.9999712185617634, 2.8781307866228622e-05]]",-11.465866867017816,1.0,-11.465866867017816,False,True
"[[1.6529832062801115e-27, 1.0429624206845037e-10], [0.9999742570744241, 2.5742821279562944e-05]]",-11.577440158383908,1.0,-11.577440158383908,False,True
"[[1.3223865650241855e-27, 8.34369936547603e-11], [0.9999769748076922, 2.3025108870670387e-05]]",-11.689013289730909,1.0,-11.689013289730909,False,True
"[[1.1827785006363665e-27, 6.674959490922137e-11], [0.9999794056261667, 2.0594307083555578e-05]]",-11.800586278062028,1.0,-11.800586278062028,False,True
"[[8.463274016156245e-28, 5.339967593904659e-11], [0.999981579819454, 1.8420127146264515e-05]]",-11.912159138159822,1.0,-11.912159138159822,False,True
"[[6.770619212925684e-28, 4.271974075123728e-11], [0.9999835244795717, 1.647547770842992e-05]]",-12.02373188386715,1.0,-12.02373188386715,False,True
"[[5.416495370341163e-28, 3.4175792600989825e-11], [0.9999852638384753, 1.473612734884175e-05]]",-12.135304527162965,1.0,-12.135304527162965,False,True
"[[4.3331962962734805e-28, 2.7340634080791862e-11], [0.9999868195699871, 1.3180402672209398e-05]]",-12.24687707885925,1.0,-12.24687707885925,False,True
"[[3.4665570370192763e-28, 2.187250726463349e-11], [0.999988211059844, 1.1788918283446724e-05]]",-12.35844954862651,1.0,-12.35844954862651,False,True
"[[2.773245629615861e-28, 1.7498005811706793e-11], [0.9999894556472406, 1.0544335261266851e-05]]",-12.470021945114318,1.0,-12.470021945114318,False,True
"[[2.2185965036930826e-28, 1.3998404649365435e-11], [0.9999905688408759, 9.43114512555732e-06]]",-12.581594276059036,1.0,-12.581594276059036,False,True
"[[1.7748772029548182e-28, 1.1198723719492349e-11], [0.9999915645121931, 8.435476608053767e-06]]",-12.69316654838029,1.0,-12.69316654838029,False,True
"[[1.135921409891617e-28, 7.167183180475105e-12], [0.9999932516061709, 6.748386661829154e-06]]",-12.916310941255325,1.0,-12.916310941255325,False,True
"[[9.087371279135456e-29, 5.733746544380084e-12], [0.9999939640517101, 6.0359425560516875e-06]]",-13.02788307229602,1.0,-13.02788307229602,False,True
"[[7.269897023310619e-29, 4.5869972355040675e-12], [0.9999946012826433, 5.398712769710631e-06]]",-13.139455165817807,1.0,-13.139455165817807,False,True
"[[4.652734094922211e-29, 2.9356782307226036e-12], [0.9999956810246466, 4.31897241752687e-06]]",-13.362599255730395,1.0,-13.362599255730395,False,True
"[[2.977749820752947e-29, 1.8788340676624664e-12], [0.999996544818778, 3.455179343146893e-06]]",-13.585743237923154,1.0,-13.585743237923154,False,True
"[[6.244793992125593e-30, 3.940200622666478e-13], [0.9999984177101535, 1.5822894525548323e-06]]",-14.366746601758926,1.0,-14.366746601758926,False,True
"[[3.574728670337271e-30, 1.6139061742585604e-13], [0.9999989873343169, 1.0126655217352746e-06]]",-14.813033988770428,1.0,-14.813033988770428,False,True
"[[1.6403924585051237e-41, 6.35911410606492e-26], [0.9999999999993643, 6.356607542150843e-13]]",-29.094221778157234,1.0,-29.094221778157234,True,False
"[[1.943072420985193e-23, 1.2259964336345694e-06], [0.997211375483897, 0.002787398519669184]]",-6.890045461333067,1.0,-6.890045461333067,False,True
"[[1.2435663499041598e-23, 9.80797147625819e-07], [0.9975055469301044, 0.002493472272747931]]",-7.001764363269558,1.0,-7.001764363269558,False,True
"[[1.2435663494305256e-23, 7.846377175261245e-07], [0.9977687081618702, 0.0022305072004120893]]",-7.1134677197905525,1.0,-7.1134677197905525,False,True
"[[9.948530795444215e-24, 6.277101740208996e-07], [0.9980041237557761, 0.0019952485340497487]]",-7.225157173762547,1.0,-7.225157173762547,False,True
"[[5.694871334460959e-24, 5.02168139883961e-07], [0.9982147154908441, 0.001784782341015976]]",-7.336834194751862,1.0,-7.336834194751862,False,True
