replicated free entropy mean,replicated free entropy std,cluster free entropy mean,cluster free entropy std,complexity mean,complexity std,density mean,density std,entropy mean,entropy std
-0.37603442843367413,0.00041616211882128775,0.0,0.0,-0.37603442843367413,0.00041616211882128775,0.4994664032284806,0.0020305318391501356,0.0,0.0
-0.37609135813829375,0.0003377257179539499,0.0,0.0,-0.37609135813829375,0.0003377257179539499,0.5000738334365007,0.002207100562170972,0.0,0.0
-0.3760325385303032,0.0004408109431238588,0.0,0.0,-0.3760325385303032,0.0004408109431238588,0.5004093894144384,0.0028620822265009813,0.0,0.0
-0.3760528390000506,0.0004164819825170618,0.0,0.0,-0.3760528390000506,0.0004164819825170618,0.50102215351128,0.002311867099924926,0.0,0.0
-0.37600197443147987,0.00038907929504480767,0.0,0.0,-0.37600197443147987,0.00038907929504480767,0.5004462396226278,0.00214775391670132,0.0,0.0
-0.3761376520482505,0.0003225055197044148,0.0,0.0,-0.3761376520482505,0.0003225055197044148,0.4994622134580845,0.0020384350017218496,0.0,0.0
-0.37608307745398545,0.00033946285921670984,0.0,0.0,-0.37608307745398545,0.00033946285921670984,0.5005399970019736,0.0023986932088193875,0.0,0.0
-0.37608214122493094,0.00030326766413980567,0.0,0.0,-0.37608214122493094,0.00030326766413980567,0.4995362162590027,0.001784018136090049,0.0,0.0
-0.37606046257949455,0.0003874842668798006,0.0,0.0,-0.37606046257949455,0.0003874842668798006,0.5000834799394375,0.0019149274047337837,0.0,0.0
-0.3760398539101205,0.0003756406844189366,0.0,0.0,-0.3760398539101205,0.0003756406844189366,0.5001343350584914,0.0017420789872864655,0.0,0.0
-0.3760496814076493,0.0004148921605152394,0.0,0.0,-0.3760496814076493,0.0004148921605152394,0.4998099324179859,0.0022460738000361145,0.0,0.0
-0.37602951468490975,0.0004169307967088335,0.0,0.0,-0.37602951468490975,0.0004169307967088335,0.4993068139727523,0.0023956526730614324,0.0,0.0
-0.37608685144564,0.00043431791212971777,0.0,0.0,-0.37608685144564,0.00043431791212971777,0.49954457980830497,0.0019635905571889745,0.0,0.0
-0.37604006906835047,0.00039041076643485183,0.0,0.0,-0.37604006906835047,0.00039041076643485183,0.4993913217288692,0.002010766481800374,0.0,0.0
-0.3759731606739323,0.00034969019031661543,0.0,0.0,-0.3759731606739323,0.00034969019031661543,0.500105140412726,0.002124959867364488,0.0,0.0
-0.37595861132551983,0.00039802555454699083,0.0,0.0,-0.37595861132551983,0.00039802555454699083,0.4995897921120248,0.0025845894920731873,0.0,0.0
-0.37610133101300497,0.0003476201968513651,0.0,0.0,-0.37610133101300497,0.0003476201968513651,0.49999441024733754,0.0022654822946046797,0.0,0.0
-0.37617994517814823,0.00039723173603735916,0.0,0.0,-0.37617994517814823,0.00039723173603735916,0.49994126180323156,0.002169513616485166,0.0,0.0
-0.3760564501692609,0.0004360094292567973,0.0,0.0,-0.3760564501692609,0.0004360094292567973,0.499697744846344,0.002765629546190691,0.0,0.0
-0.3759699740060946,0.0004179265094085588,0.0,0.0,-0.3759699740060946,0.0004179265094085588,0.5003084802046055,0.002170528296990185,0.0,0.0
-0.37608825288167813,0.0003575305228507195,0.0,0.0,-0.37608825288167813,0.0003575305228507195,0.5004036310242443,0.002126843389438245,0.0,0.0
-0.37606576593910773,0.0004073516015758818,0.0,0.0,-0.37606576593910773,0.0004073516015758818,0.49971732787969636,0.002632471826227215,0.0,0.0
-0.3760972081161127,0.00042691642598008075,0.0,0.0,-0.3760972081161127,0.00042691642598008075,0.5004620821010776,0.002154015617479782,0.0,0.0
-0.3760505769310928,0.00032084752176760945,0.0,0.0,-0.3760505769310928,0.00032084752176760945,0.49952559136762853,0.0018179121449775335,0.0,0.0
-0.376074616501971,0.000361866534878228,0.0,0.0,-0.376074616501971,0.000361866534878228,0.4994795220654185,0.002283824549814094,0.0,0.0
-0.3761155779768781,0.00037530162965838736,0.0,0.0,-0.3761155779768781,0.00037530162965838736,0.5006221547359373,0.0022550659730797987,0.0,0.0
-0.3762147775510462,0.0004150091490010429,0.0,0.0,-0.3762147775510462,0.0004150091490010429,0.4998706382949178,0.0020687726795974967,0.0,0.0
-0.37606994117178566,0.00037230168820029353,0.0,0.0,-0.37606994117178566,0.00037230168820029353,0.49961322836759614,0.0022359084232408954,0.0,0.0
-0.37601591901081366,0.0004034133789995312,0.0,0.0,-0.37601591901081366,0.0004034133789995312,0.49988378111909076,0.0018023144637477667,0.0,0.0
-0.376011237865541,0.00034665918642991976,0.0,0.0,-0.376011237865541,0.00034665918642991976,0.5001934010808061,0.001919001428619322,0.0,0.0
