Messages,Free entropy density,density,entropy density,stability,physical
"[[0.17867321765320252, 0.2885679471105938], [0.2668231784105518, 0.26593565682565184]]",0.13036465840578026,0.5755879578402431,0.13036465840578026,True,True
"[[0.2760221825143241, 0.42439076198212466], [0.299587055503551, 0.0]]",0.044765319669145764,0.38472820920895856,0.044765319669145764,False,True
"[[0.9999999999999998, 4.780823796297106e-26], [3.589886501227135e-28, 1.6905328567111293e-29]]",0.0,1.0927187000357418e-76,0.0,True,True
