replicated free entropy mean,replicated free entropy std,cluster free entropy mean,cluster free entropy std,complexity mean,complexity std,density mean,density std,entropy mean,entropy std
0.014207794898893775,0.00010391965309213433,0.019855039875681806,0.00021080210830122612,0.013522946647623189,0.0001037761859866748,0.36921046928661627,0.00020926086344266536,0.019855039875681806,0.00021080210830122612
0.01481726983698403,9.707872890953128e-05,0.018425473352757897,0.00020233586792632485,0.013546375989283306,9.853184780299844e-05,0.3706063126645437,0.0002988515758698712,0.018425473352757897,0.00020233586792632485
0.015525496587520692,0.00011466388191052655,0.018478242362417827,0.0002067913207235173,0.013613788607166633,0.00011217080878258404,0.37062757989255396,0.000371722822739948,0.018478242362417827,0.0002067913207235173
0.016163466907129054,9.038492127772598e-05,0.020910626504479383,0.00019478910717708053,0.013279062297662035,9.05128996872652e-05,0.3679181010257907,0.00024719529063042285,0.020910626504479383,0.00019478910717708053
0.016905168207680305,9.698204133467764e-05,0.02133154578325225,0.00014036997148522934,0.013227138949499301,9.65608555832396e-05,0.36802085725272576,0.00026618227357749134,0.02133154578325225,0.00014036997148522934
0.017624427632587713,0.00010840750465564207,0.022444352871034204,0.00013799625693034623,0.012980590410954418,0.00010174506779817796,0.3700570369639048,0.0002659221779126549,0.022444352871034204,0.00013799625693034623
0.018403117249651654,9.123052737243348e-05,0.022279303248335675,0.0001727415625927709,0.013025185381201156,9.813894070801162e-05,0.3730793718884631,0.00026527820208304987,0.022279303248335675,0.0001727415625927709
0.01923367308407295,0.00010819588793075466,0.02343300784506449,0.00013276724119224283,0.012769225370550077,9.782998912907651e-05,0.37485392428025965,0.0003181795720035277,0.02343300784506449,0.00013276724119224283
0.02005724790619641,0.00010249610169976202,0.024212558095048114,0.00013151177438802518,0.012542838755608408,9.131058259652046e-05,0.3744312190428013,0.00031739597795041644,0.024212558095048114,0.00013151177438802518
0.0209055005050287,0.00010101456322099342,0.025041219664783013,0.00016479128615979583,0.012270433109181585,9.489668334299046e-05,0.3743824181033344,0.0002470571536668234,0.025041219664783013,0.00016479128615979583
0.02176619157558534,0.00011684157902847655,0.02664423570400331,0.00012781519888598506,0.01165959196501765,9.798179117491056e-05,0.3744899347061064,0.00027882341119330606,0.02664423570400331,0.00012781519888598506
0.022706779038033833,0.00010722972210891346,0.027120822813452745,0.00012530745694937643,0.011484210613850689,9.267513085211868e-05,0.37474078884938866,0.00028982221884209496,0.027120822813452745,0.00012530745694937643
0.023678375453483766,0.0001083990049128841,0.02873567546286234,0.00013965894253118184,0.010796707221577407,8.83237946598522e-05,0.375084696746454,0.0003123248641134222,0.02873567546286234,0.00013965894253118184
0.02465617365953399,0.00010021536730918487,0.029808905066513434,0.00014396562841691957,0.010265513581363368,8.786253432526443e-05,0.37605947110711074,0.0003189814487169398,0.029808905066513434,0.00014396562841691957
0.025720206702627788,9.263886946128722e-05,0.030486656398307985,0.00012422863809759813,0.009951099319644493,7.52790322029436e-05,0.3773002813502056,0.00026286299747614627,0.030486656398307985,0.00012422863809759813
0.026771530872438012,9.44943345696898e-05,0.031502072404070595,0.00010466068643803836,0.009390935916074492,9.119921894352541e-05,0.37870141500379984,0.0003282472432286592,0.031502072404070595,0.00010466068643803836
0.02787785704542951,0.00010716375483269528,0.032213943760569505,0.00010906738944882286,0.008993687748776654,0.00010317067853940402,0.37993885104249164,0.00026834903965431523,0.032213943760569505,0.00010906738944882286
0.029070211619865602,0.00013430956240174582,0.03342972441417415,0.00011480689094211323,0.008320600698320078,0.00010684753236839952,0.38087031681363176,0.0002745462951511879,0.03342972441417415,0.00011480689094211323
0.03023052215576172,0.00010128673746477923,0.03483517286254138,0.00014042665706972974,0.007407357745224733,0.00010791147940251353,0.3810949594509311,0.00027313232243301273,0.03483517286254138,0.00014042665706972974
0.03149598691521621,0.00012262318639810654,0.03642741354500375,0.00013590248778274196,0.0063735196956543495,0.0001133504423099832,0.38025594339138125,0.00034112676235721184,0.03642741354500375,0.00013590248778274196
0.03275862263470161,0.00011646617025827736,0.038242241231406605,0.00011872337006533617,0.005065859695431366,9.028482052026754e-05,0.37974940349416036,0.00029782212490611295,0.038242241231406605,0.00011872337006533617
0.03406767438097698,0.0001043572368593805,0.04006232575672429,0.00010346974263074104,0.003675468484055007,8.55936461951814e-05,0.3793565332889557,0.0002693912309114006,0.04006232575672429,0.00010346974263074104
0.035449237358279345,0.00011837282840514504,0.04188468688871802,0.0001126656849560704,0.0022302610989094218,0.00010508614875933406,0.37900311263596137,0.00025433000717671933,0.04188468688871802,0.0001126656849560704
0.03687942900308749,0.00010989577465029236,0.042327066747153676,0.00011680685275797194,0.0018500594070521225,0.00010779342924110211,0.3814620760882773,0.00028759472104105505,0.042327066747153676,0.00011680685275797194
0.038344365794484206,0.00011648560440161696,0.043366153065751235,0.00013366714627352304,0.0009596912672461556,0.00011117487726962458,0.3828494105397201,0.00034223177420610935,0.043366153065751235,0.00013366714627352304
0.039863121218797634,0.00010774627070004828,0.04444762846318687,0.00014743923909217238,1.3477305979967195e-05,0.00011044715693978907,0.3843219789063058,0.00027675737444022246,0.04444762846318687,0.00014743923909217238
0.0414267138737004,0.00011807738536867567,0.04551068747915873,0.00013370570936263522,-0.0009453368901284016,0.0001460122879061332,0.38564367192547494,0.0003553415396780515,0.04551068747915873,0.00013370570936263522
0.04311764821773622,0.00010398532833123273,0.047266801682914174,0.0001372020179399513,-0.002519280050871144,0.000121344493082732,0.38582777976989746,0.000268548626888033,0.047266801682914174,0.0001372020179399513
0.04471223819546583,0.00011072498938512287,0.04912252251694842,0.00014141666178273162,-0.004410284321482588,0.00013659087610319245,0.38575901563574627,0.00028344912459000147,0.04912252251694842,0.00014141666178273162
