Messages,Free entropy density,density,entropy density,stability,physical
"[[0.2500000000000001, 0.2500000000000001], [0.24999999999999994, 0.24999999999999994]]",4.440892098500626e-16,0.5,4.440892098500626e-16,True,True
"[[0.41964337760708714, 0.35220112873895526], [0.2281554936539575, 0.0]]",-0.06526536523625381,0.23857876431622738,-0.06526536523625381,False,True
"[[0.9999999999999998, 4.901520398030451e-71], [1.3335469697428363e-73, 1.5207867452474377e-74]]",0.0,1.1775858226291383e-211,0.0,True,True
