Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.13967367552306098], [0.401066400940435, 0.459259923536504]]",0.35779923144031,0.8265450117621198,0.35779923144031,False,True
"[[0.0, 0.9999999999999998], [6.718970410202448e-55, 0.0]]",-250.86078473040635,0,-250.86078473040635,False,False
"[[0.2688138587650556, 0.19669331758242425], [0.22169261715508576, 0.3128002064974344]]",0.43736805661070743,0.549711446498011,0.43736805661070743,False,True
"[[0.4999999999999999, 0.4999999999999999], [6.651102022220592e-55, 0.0]]",0.0,0,0.0,False,True
