Messages,Free entropy density,density,entropy density,stability,physical
"[[0.0, 0.18721659864314893], [0.36192376701013185, 0.45085963434671916]]",-0.29110316603236885,0.7999999999999999,-0.29110316603236885,False,True
"[[0.0, 0.9999999999999998], [1.9724735150947409e-66, 0.0]]",-303.96894994318825,0,-303.96894994318825,False,False
"[[0.24133677233424317, 0.2232107462203957], [0.18422335619617022, 0.35122912524919103]]",-0.11495570600746063,0.6234021213809409,-0.11495570600746063,True,True
