Messages,Free entropy density,density,entropy density,stability,physical
"[[0.1519899172487621, 0.18670261103146063], [0.3409981910464853, 0.32030928067329184]]",0.11540251784122768,0.6570905922894548,0.11540251784122768,False,True
"[[0.258383297327925, 0.41001952678425324], [0.3315971758878218, 0.0]]",-0.4881310114355051,0.40143936909646455,-0.4881310114355051,False,True
"[[0.999999999999446, 3.8269251936551436e-13], [1.7120237552558167e-13, 0.0]]",-1.2274423249749273e-24,2.144864651916359e-50,-1.2274423249749273e-24,False,True
